2018-10-25 08:23:07,258 [Worker-14: Creating project "MockitoExample"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:MockitoExample:0.0.1-SNAPSHOT @ C:\Users\jonbe\OneDrive\Documents\RevatureLectures\Week3_Revature\MockitoExample\pom.xml.
2018-10-25 08:23:08,591 [Worker-14: Creating project "MockitoExample"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MockitoExample/src/main/java
2018-10-25 08:23:08,592 [Worker-14: Creating project "MockitoExample"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MockitoExample/src/main/resources
2018-10-25 08:23:08,593 [Worker-14: Creating project "MockitoExample"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MockitoExample/src/test/java
2018-10-25 08:23:08,594 [Worker-14: Creating project "MockitoExample"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MockitoExample/src/test/resources
2018-10-25 08:23:11,130 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 08:23:11,142 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-25 08:23:11,144 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 08:23:11,145 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-25 08:24:59,394 [Worker-3: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:MockitoExample:0.0.1-SNAPSHOT @ C:\Users\jonbe\OneDrive\Documents\RevatureLectures\Week3_Revature\MockitoExample\pom.xml.
2018-10-25 08:25:02,005 [Worker-3: Building workspace] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/mockito/mockito-all/1.10.19/mockito-all-1.10.19.pom
2018-10-25 08:25:02,020 [Worker-3: Building workspace] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/mockito/mockito-all/1.10.19/mockito-all-1.10.19.pom
